allenamenti_settimana;cadenza_checkin;canale;mese_iscrizione;mesi_pagati;mensile_equivalente_eur;totale_pieno_eur;sconto_pct;totale_scontato_eur
7;bisettimanale;remoto;Marzo;4;111;444;10;399,60
7;bisettimanale;remoto;Aprile;3;111;333;10;299,70
7;bisettimanale;remoto;Maggio;2;111;222;10;199,80
7;bisettimanale;remoto;Giugno;1;111;111;10;99,90
7;bisettimanale;remoto;Luglio;10;111;1110;15;943,50
7;bisettimanale;remoto;Agosto;10;111;1110;15;943,50
7;bisettimanale;remoto;Settembre;10;111;1110;15;943,50
7;bisettimanale;remoto;Ottobre;9;111;999;15;849,15
7;bisettimanale;remoto;Novembre;8;111;888;15;754,80
7;bisettimanale;remoto;Dicembre;7;111;777;15;660,45
7;settimanale;presenza;Gennaio;6;183;1098;10;988,20
7;settimanale;presenza;Febbraio;5;183;915;10;823,50
7;settimanale;presenza;Marzo;4;183;732;10;658,80
7;settimanale;presenza;Aprile;3;183;549;10;494,10
7;settimanale;presenza;Maggio;2;183;366;10;329,40
7;settimanale;presenza;Giugno;1;183;183;10;164,70
7;settimanale;presenza;Luglio;10;183;1830;15;1555,50
7;settimanale;presenza;Agosto;10;183;1830;15;1555,50
7;settimanale;presenza;Settembre;10;183;1830;15;1555,50
7;settimanale;presenza;Ottobre;9;183;1647;15;1399,95
7;settimanale;presenza;Novembre;8;183;1464;15;1244,40
7;settimanale;presenza;Dicembre;7;183;1281;15;1088,85
7;settimanale;remoto;Gennaio;6;147;882;10;793,80
7;settimanale;remoto;Febbraio;5;147;735;10;661,50
7;settimanale;remoto;Marzo;4;147;588;10;529,20
7;settimanale;remoto;Aprile;3;147;441;10;396,90
7;settimanale;remoto;Maggio;2;147;294;10;264,60
7;settimanale;remoto;Giugno;1;147;147;10;132,30
7;settimanale;remoto;Luglio;10;147;1470;15;1249,50
7;settimanale;remoto;Agosto;10;147;1470;15;1249,50
7;settimanale;remoto;Settembre;10;147;1470;15;1249,50
7;settimanale;remoto;Ottobre;9;147;1323;15;1124,55
7;settimanale;remoto;Novembre;8;147;1176;15;999,60
7;settimanale;remoto;Dicembre;7;147;1029;15;874,65
